2024-05-21 10:16:10.339 INFO | [MainThread] app [104] | LogHandler.py <module> | this is a test msg
2024-06-24 16:34:19.377 INFO | [Thread-2] app [18] | NameSpaceController.py list_ns | 获取所有命名空间：{'code': 0, 'msg': '', 'data': ['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']}
2024-06-24 16:34:48.359 INFO | [Thread-2] app [18] | NameSpaceController.py list_ns | 获取所有命名空间：{'code': 0, 'msg': '', 'data': ['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']}
2024-06-24 16:35:32.213 INFO | [Thread-2] app [19] | NameSpaceController.py list_ns | 获取所有命名空间：{'code': 0, 'msg': '', 'data': ['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']}
2024-06-24 16:35:43.401 INFO | [Thread-3] app [19] | NameSpaceController.py list_ns | 获取所有命名空间：{'code': 0, 'msg': '', 'data': ['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']}
2024-06-24 16:35:44.962 INFO | [Thread-4] app [19] | NameSpaceController.py list_ns | 获取所有命名空间：{'code': 0, 'msg': '', 'data': ['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']}
2024-06-24 16:36:51.527 INFO | [Thread-2] app [19] | NameSpaceController.py list_ns | 获取所有命名空间：['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']
2024-06-24 16:36:58.638 INFO | [Thread-3] app [19] | NameSpaceController.py list_ns | 获取所有命名空间：['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']
2024-06-24 16:37:06.542 INFO | [Thread-2] app [19] | NameSpaceController.py list_ns | 获取所有命名空间：{'code': 0, 'msg': '', 'data': ['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']}
2024-06-24 16:39:03.446 INFO | [Thread-2] app [19] | NameSpaceController.py list_ns | 获取所有命名空间：{'code': 0, 'msg': '', 'data': ['argocd', 'awx', 'books', 'database', 'dev-team', 'heian', 'istio-system', 'jenkins', 'kuboard', 'metallb-system', 'monitoring', 'openvpn', 'prod', 'sre']}
2024-06-24 16:39:08.027 INFO | [Thread-3] app [38] | NameSpaceController.py get_ns | 获取命名空间：argocd
